cost_yr,median_income,affordability_ratio,ave_fam_size
7761,38134,0.2035106,3.3
6295,65294,0.0964065,2.78
6295,75909,0.0829252,2.78
6295,20000,0.3147383,2.78
6295,30849,0.2040509,2.78
6295,42852,0.1468955,2.78
6295,37738,0.1668018,2.78
6295,40202,0.1565784,2.78
5030,24844,0.2024802,2.29
5030,25125,0.2002156,2.29
8109,14329,0.5659194,3.5
8109,33287,0.2436104,3.5
8109,27922,0.2904183,3.5
8109,23249,0.3487918,3.5
8109,98313,0.0824821,3.5
8109,37009,0.2191105,3.5
8109,43094,0.1881714,3.5
8109,21594,0.3755237,3.5
8109,28033,0.2892683,3.5
6908,19531,0.3536954,3.09
6908,28711,0.2406055,3.09
6908,26024,0.2654482,3.09
6908,22561,0.3061932,3.09
6908,32105,0.2151697,3.09
6908,36991,0.1867488,3.09
6908,34213,0.2019123,3.09
6908,36750,0.1879735,3.09
6908,30286,0.228093,3.09
6591,21780,0.3026214,2.89
6591,39444,0.1671,2.89
6591,11728,0.5619964,2.89
6591,23162,0.284565,2.89
8360,11848,0.705585,3.6
8360,35673,0.2343445,3.6
8360,27592,0.3029781,3.6
8360,25120,0.3327934,3.6
8360,32152,0.2600078,3.6
8360,28558,0.2927296,3.6
8360,43125,0.1938498,3.6
8360,27814,0.3005598,3.6
6767,23917,0.2829312,3.24
6767,36556,0.1851096,3.24
6767,26739,0.253071,3.24
6767,23172,0.2920277,3.24
6767,17460,0.3875639,3.24
6767,41498,0.1630649,3.24
6767,34000,0.1990255,3.24
6767,19662,0.3441596,3.24
6767,30021,0.2254044,3.24
7471,32589,0.2292507,3.27
7471,39156,0.1908022,3.27
7471,22564,0.3311049,3.27
7471,27446,0.2722091,3.27
7471,26897,0.2777652,3.27
7471,67545,0.1106085,3.27
7471,52652,0.1418949,3.27
7471,34410,0.2171186,3.27
7422,30764,0.2412699,3.33
7422,28196,0.2632439,3.33
7422,25046,0.2963517,3.33
7422,22115,0.3356286,3.33
7422,22692,0.3270944,3.33
7422,29716,0.2497788,3.33
7422,26250,0.2827591,3.33
7422,2857,2.5979789,3.33
7422,25632,0.2895765,3.33
6335,48839,0.1297027,2.79
6335,34565,0.1832648,2.79
6335,63026,0.1005069,2.79
6335,23225,0.272747,2.79
6335,31398,0.2017501,2.79
6335,45758,0.1384359,2.79
6335,28082,0.2255733,2.79
7143,41875,0.170578,3.17
7143,60043,0.118964,3.17
7143,29535,0.2418471,3.17
7143,31167,0.2291833,3.17
7143,78235,0.0913013,3.17
7143,64016,0.1115808,3.17
7143,42262,0.169016,3.17
7143,43668,0.1635741,3.17
7171,22321,0.3212547,3.17
7171,35083,0.2043932,3.17
7171,26719,0.2683755,3.17
7171,25101,0.2856749,3.17
7171,34554,0.2075223,3.17
7171,34730,0.2064707,3.17
7171,29425,0.243695,3.17
7304,34402,0.2123228,3.2
7304,47083,0.1551373,3.2
7304,36065,0.2025323,3.2
7304,26269,0.2780589,3.2
7304,35904,0.2034405,3.2
7304,61113,0.1195217,3.2
7304,33750,0.2164246,3.2
7304,24375,0.2996648,3.2
7304,38280,0.1908132,3.2
6642,48405,0.1372172,2.96
6642,45714,0.1452946,2.96
6642,22280,0.2981149,2.96
6642,35071,0.1893872,2.96
6642,24000,0.27675,2.96
6642,27755,0.2393082,2.96
6842,11660,0.5868198,3.05
6842,23750,0.2880976,3.05
6842,9800,0.6981958,3.05
6842,16625,0.411568,3.05
6842,19368,0.3532796,3.05
6842,9340,0.7325823,3.05
6842,19045,0.3592711,3.05
9238,9125,1.0124318,3.84
9238,9125,1.0124318,3.84
5553,14531,0.3821745,2.53
5553,20673,0.2686295,2.53
5553,16053,0.3459401,2.53
5553,34722,0.1599383,2.53
5553,16638,0.3337767,2.53
7181,13958,0.5144849,3.18
7181,41786,0.1718561,3.18
7181,29438,0.2439425,3.18
7181,27315,0.2629024,3.18
7181,40061,0.1792561,3.18
7181,40837,0.1758499,3.18
7181,17296,0.4151931,3.18
7181,53864,0.1333206,3.18
7181,33092,0.2170065,3.18
6762,33750,0.2003592,2.97
6762,52054,0.1299059,2.97
6762,17011,0.3975148,2.97
6762,25154,0.268829,2.97
6762,40559,0.1667232,2.97
6762,20769,0.3255874,2.97
6762,35697,0.1894312,2.97
7588,14830,0.5116345,3.39
7588,32417,0.2340605,3.39
7588,12906,0.5879079,3.39
7588,18188,0.4171729,3.39
7588,50833,0.1492641,3.39
7588,27070,0.2802933,3.39
7588,6314,1.201701,3.39
7588,21001,0.3612942,3.39
7058,31818,0.221819,3.2
7058,16324,0.4323596,3.2
7058,17590,0.4012415,3.2
7058,25486,0.27693,3.2
7058,17134,0.4119201,3.2
7058,21385,0.3300369,3.2
6450,6061,1.0641929,2.93
6450,25031,0.2576834,2.93
6450,21615,0.2984073,2.93
5856,20594,0.2843682,2.68
5856,15313,0.3824384,2.68
5856,17099,0.3424925,2.68
8050,27788,0.2897061,3.66
8050,25083,0.3209486,3.66
8050,29211,0.2755932,3.66
8050,18521,0.4346608,3.66
8050,23840,0.3376826,3.66
8050,32222,0.2498403,3.66
8050,19735,0.4079226,3.66
5629,35887,0.1568563,2.57
5629,21574,0.2609206,2.57
5629,22020,0.2556358,2.57
7610,60227,0.1263543,3.24
7610,44522,0.1709254,3.24
7610,36733,0.2071691,3.24
7610,26981,0.2820481,3.24
7610,53199,0.1430467,3.24
7610,26287,0.2894945,3.24
7610,53111,0.1432837,3.24
7610,39816,0.1911277,3.24
6851,50469,0.1357559,3.02
6851,41364,0.1656384,3.02
6851,21375,0.3205364,3.02
6851,26659,0.2570039,3.02
6851,6328,1.0827222,3.02
6851,36438,0.1880308,3.02
6851,48409,0.1415329,3.02
6851,32020,0.2139746,3.02
7091,13750,0.5156929,3.22
7091,28750,0.2466357,3.22
7091,16750,0.42333,3.22
7091,27813,0.2549447,3.22
7091,22056,0.3214897,3.22
7091,23109,0.3068405,3.22
7091,23260,0.3048485,3.22
5890,102750,0.057327,2.44
8088,12500,0.6470352,3.44
8088,12500,0.6470352,3.44
9411,17310,0.5436859,4.01
9411,14933,0.6302286,4.01
9411,19231,0.4893767,4.01
9411,28208,0.333636,4.01
9411,16997,0.5536979,4.01
6692,46641,0.1434701,2.75
6692,52596,0.1272262,2.75
7622,26083,0.2922107,3.07
6479,5500,1.1779503,2.88
6479,6042,1.0722818,2.88
7199,53036,0.1357331,3.13
7199,17188,0.4188235,3.13
7199,31765,0.2266249,3.13
7199,29048,0.2478222,3.13
7199,33654,0.2139044,3.13
7199,30889,0.2330518,3.13
6724,111250,0.0604421,2.78
6724,111250,0.0604421,2.78
6442,90875,0.0708856,2.74
6442,60879,0.1058119,2.74
6442,65568,0.098245,2.74
6442,61118,0.1053982,2.74
7275,25559,0.2846228,3.09
7275,46092,0.1578294,3.09
7275,47061,0.1545797,3.09
7275,40589,0.1792277,3.09
6696,66442,0.1007861,2.82
6696,35857,0.1867539,2.82
6696,47644,0.1405514,2.82
6696,49239,0.1359986,2.82
6696,62045,0.1079286,2.82
6696,48520,0.1380139,2.82
7656,24750,0.3093378,3.16
7656,24750,0.3093378,3.16
8121,19500,0.4164431,3.38
7143,16250,0.439543,3.25
7143,6719,1.0630411,3.25
7143,10703,0.6673431,3.25
7187,9792,0.7339309,3.28
7187,9792,0.7339309,3.28
5648,89792,0.0628977,2.67
5648,41305,0.1367318,2.67
5648,41691,0.1354659,2.67
5346,33897,0.1577044,2.38
5346,33897,0.1577044,2.38
7665,65592,0.1168654,3.3
7665,48750,0.1572397,3.3
7665,51875,0.1477674,3.3
7665,50859,0.1507194,3.3
6974,16212,0.4301604,3.05
6974,16174,0.431171,3.05
7910,28266,0.2798512,3.64
7910,54531,0.1450601,3.64
7910,28790,0.2747577,3.64
8361,36250,0.2306572,3.52
8361,59250,0.1411194,3.52
8361,60184,0.1389294,3.52
8361,58250,0.1435421,3.52
7808,16632,0.4694322,3.76
7808,17396,0.4488156,3.76
8217,34063,0.2412379,3.54
8217,31837,0.258105,3.54
8217,24973,0.3290469,3.54
8217,41063,0.2001142,3.54
8217,31528,0.2606346,3.54
8217,27803,0.295554,3.54
6894,22232,0.310108,3.09
6894,20402,0.3379237,3.09
5161,7321,0.7049507,2.36
5161,7333,0.7037971,2.36
5161,7330,0.7040851,2.36
7428,17137,0.4334621,3.24
7428,37292,0.1991913,3.24
7428,24904,0.298275,3.24
7428,43056,0.1725251,3.24
7428,66058,0.1124503,3.24
7428,35868,0.2070994,3.24
7865,50222,0.156599,3.52
7865,19906,0.3950928,3.52
7865,27703,0.283894,3.52
7865,38365,0.2049972,3.52
7865,21927,0.3586773,3.52
7865,31479,0.2498401,3.52
8278,85234,0.0971239,3.43
8278,85234,0.0971239,3.43
7813,23662,0.330212,3.4
7813,11758,0.6645242,3.4
7813,26316,0.2969097,3.4
7813,33125,0.2358785,3.4
7813,19688,0.3968649,3.4
5851,65833,0.0888789,2.54
5851,65833,0.0888789,2.54
9314,14485,0.6430312,4.51
9314,31684,0.2939751,4.51
8149,13438,0.6063806,3.59
8149,9760,0.8348916,3.59
8149,12898,0.6317679,3.59
7174,17933,0.4000255,3
7174,44784,0.1601835,3
7174,31667,0.2265342,3
7174,40671,0.1763826,3
5732,65909,0.0869741,2.56
5732,24507,0.2339077,2.56
5732,26736,0.2144067,2.56
6089,28705,0.2121083,2.76
6089,20304,0.2998704,2.76
6089,14216,0.4282898,2.76
6089,35000,0.1739591,2.76
6089,24345,0.2500952,2.76
6089,21587,0.2820479,2.76
8665,18315,0.4730875,4.13
6083,85938,0.0707796,2.62
6083,40938,0.1485821,2.62
6083,43629,0.1394177,2.62
7976,47917,0.1664502,3.39
7976,21980,0.3628659,3.39
7976,27031,0.2950609,3.39
7976,31528,0.2529749,3.39
10031,14107,0.711089,4.46
10031,14621,0.6860907,4.46
7580,28860,0.262645,3.37
7580,17717,0.4278339,3.37
7580,17429,0.4349036,3.37
7580,17169,0.4414895,3.37
7580,18800,0.403188,3.37
5824,26052,0.2235526,2.6
5824,31607,0.1842628,2.6
5824,27215,0.2139994,2.6
8367,239000,0.0350097,3.45
8367,237583,0.0352185,3.45
7103,16131,0.440306,3.22
7103,14420,0.4925503,3.22
7103,18173,0.3908312,3.22
7103,41827,0.1698084,3.22
7103,15998,0.4439665,3.22
7105,63494,0.1118945,3.28
6517,63255,0.1030249,2.72
6517,63255,0.1030249,2.72
5988,45012,0.1330314,2.62
5988,31354,0.1909807,2.62
8487,21094,0.4023252,3.65
8487,20852,0.4069944,3.65
5744,41190,0.1394496,2.41
5744,40179,0.1429585,2.41
5744,40786,0.1408309,2.41
8498,7880,1.0784476,4.18
8498,26371,0.3222543,4.18
8498,9559,0.8890226,4.18
8467,38750,0.2185135,3.54
8467,31563,0.2682697,3.54
8467,31250,0.2709567,3.54
8870,21875,0.4054867,3.76
8870,32279,0.2747923,3.76
8870,27000,0.3285193,3.76
8870,34063,0.2604005,3.76
8870,28006,0.3167186,3.76
7731,32061,0.2411378,3.5
7731,21927,0.3525844,3.5
7731,18446,0.4191216,3.5
7731,32117,0.2407173,3.5
7731,21853,0.3537783,3.5
7731,21953,0.3521668,3.5
7731,23402,0.3303614,3.5
9573,70250,0.1362655,4.07
9573,26473,0.3616007,4.07
9573,19156,0.4997209,4.07
9573,26500,0.3612322,4.07
11158,72813,0.1532438,4.63
11158,72813,0.1532438,4.63
7389,31616,0.2337075,3.23
7389,21429,0.3448083,3.23
7389,13872,0.5326482,3.23
7389,16406,0.4503777,3.23
7389,18607,0.397103,3.23
7704,16179,0.4761703,3.4
7704,17089,0.4508139,3.4
7704,15625,0.4930534,3.4
7704,33250,0.231698,3.4
7704,16752,0.4598829,3.4
8440,90809,0.0929442,3.69
8440,12417,0.6797269,3.69
8440,10893,0.774825,3.69
8440,13036,0.6474508,3.69
8440,12167,0.6936935,3.69
5955,25919,0.2297704,2.71
5955,25919,0.2297704,2.71
5984,11071,0.5405208,2.71
5984,11071,0.5405208,2.71
5642,34167,0.1651313,2.36
5642,34436,0.1638413,2.36
7409,24167,0.3065652,3.25
7409,17031,0.4350162,3.25
7409,21516,0.3443373,3.25
7409,19457,0.3807761,3.25
7409,21489,0.3447699,3.25
9607,19000,0.505615,4.13
9607,19005,0.505482,4.13
8311,24402,0.3406051,3.66
8311,32279,0.2574877,3.66
8311,25188,0.3299764,3.66
4421,7115,0.6213345,2.07
4421,7115,0.6213345,2.07
7772,28750,0.270337,3.31
7772,31750,0.2447934,3.31
7772,34233,0.2270379,3.31
7772,32282,0.2407592,3.31
7772,30521,0.2546505,3.31
7772,32016,0.2427595,3.31
5655,63438,0.0891356,2.41
5655,30676,0.1843326,2.41
5655,97738,0.0578545,2.41
5655,57241,0.0987856,2.41
7061,16471,0.4286744,2.95
7061,25521,0.2766622,2.95
6693,55268,0.121095,2.94
6693,53302,0.1255615,2.94
6693,54256,0.1233537,2.94
6693,27188,0.246163,2.94
6693,53579,0.1249124,2.94
6695,87857,0.0761999,2.92
6695,12056,0.5552998,2.92
6695,21116,0.3170437,2.92
6695,56604,0.1182725,2.92
6695,50588,0.1323376,2.92
6695,38691,0.1730298,2.92
6495,60744,0.1069322,2.65
6495,57619,0.1127317,2.65
6077,30515,0.1991554,2.79
6077,7214,0.8424211,2.79
6242,80833,0.0772223,2.64
6242,86058,0.0725337,2.64
6242,70082,0.0890687,2.64
6242,69621,0.0896584,2.64
7443,24167,0.3079971,3.24
7443,35556,0.2093421,3.24
7443,35093,0.212104,3.24
7488,7632,0.9811784,3.16
7488,20852,0.3591192,3.16
7488,18837,0.3975343,3.16
7833,40625,0.1928177,3.5
7833,28125,0.2785145,3.5
5787,9185,0.6300054,2.34
5787,8533,0.6781436,2.34
7861,19844,0.3961177,3.75
7861,14922,0.5267765,3.75
5642,52734,0.1069963,2.6
5642,28625,0.1971124,2.6
7043,54712,0.1287286,2.91
7043,54712,0.1287286,2.91
5863,66000,0.0888289,2.47
10610,17058,0.6220166,4.4
10610,22292,0.4759716,4.4
10610,21218,0.5000641,4.4
5975,12188,0.4902102,2.61
5975,21771,0.274433,2.61
8218,24219,0.3393123,3.49
8218,29145,0.2819628,3.49
8218,4091,2.008752,3.49
8218,24574,0.3344105,3.49
5698,12500,0.455851,2.51
5698,12500,0.455851,2.51
4615,3846,1.1998756,2.23
4615,3846,1.1998756,2.23
7497,2813,2.6652236,3.32
7497,32132,0.2333273,3.32
7497,32096,0.233589,3.32
7681,39926,0.192391,3.79
7681,34000,0.2259236,3.79
7681,53355,0.1439678,3.79
6892,26786,0.2572953,2.88
6892,26786,0.2572953,2.88
5458,67614,0.0807251,2.67
5458,42500,0.1284271,2.67
7821,20109,0.388934,3.86
7067,13068,0.5407712,3.13
5024,23750,0.2115382,2.27
6948,21167,0.3282557,3.26
6948,43365,0.1602257,3.26
6948,29000,0.2395927,3.26
5602,9257,0.6051132,2.52
5602,9662,0.5797488,2.52
7368,50089,0.1471019,3.11
7368,45733,0.1611132,3.11
7368,45948,0.1603593,3.11
7678,15059,0.5098797,3.6
7678,13125,0.5850116,3.6
7678,14827,0.5178578,3.6
6687,28750,0.2325807,2.84
6687,36630,0.182547,2.84
6687,41919,0.1595147,2.84
6687,40211,0.1662902,2.84
7879,102045,0.0772079,3.42
7879,73404,0.1073331,3.42
7879,19716,0.3996083,3.42
7879,71304,0.1104942,3.42
7879,12614,0.6245979,3.42
7879,64848,0.1214945,3.42
8248,10333,0.7981912,3.69
5793,22500,0.2574513,2.66
5793,26031,0.222529,2.66
6759,51528,0.1311681,3.39
6759,37100,0.1821787,3.39
6759,36450,0.1854275,3.39
8108,66027,0.1227964,3.42
8108,31875,0.2543647,3.42
8108,32712,0.2478563,3.42
8108,36028,0.2250438,3.42
8108,19000,0.4267303,3.42
8108,35000,0.2316536,3.42
5956,38125,0.1562114,2.51
5956,17826,0.334094,2.51
5956,22679,0.2626024,2.51
6906,75417,0.0915757,2.92
6906,19103,0.3615329,2.92
6906,33632,0.205351,2.92
6906,46985,0.1469908,2.92
6906,63083,0.1094806,2.92
6906,45846,0.1506427,2.92
5839,48021,0.1215845,2.56
5839,55321,0.1055406,2.56
5839,48516,0.120344,2.56
5839,48750,0.1197664,2.56
6030,31364,0.1922546,2.82
6030,31364,0.1922546,2.82
6899,14853,0.464511,3.14
6899,14779,0.4668369,3.14
8679,9479,0.9155903,4.16
8679,9479,0.9155903,4.16
6666,27444,0.2429113,2.69
6666,26639,0.2502518,2.69
7364,35549,0.207152,3.15
7364,90833,0.0810724,3.15
7364,60984,0.1207537,3.15
8726,22558,0.3868127,3.82
8726,22865,0.3816191,3.82
8508,7095,1.1991613,3.93
8508,14409,0.5904677,3.93
8508,11675,0.7287409,3.93
8508,13150,0.647,3.93
7414,32614,0.2273245,3.03
7414,24607,0.3012948,3.03
7414,24643,0.3008547,3.03
8806,12414,0.7093831,3.89
8806,14167,0.6216053,3.89
5125,29333,0.1747014,2.37
5125,28333,0.1808674,2.37
9045,6983,1.295252,3.89
9045,6983,1.295252,3.89
6970,38542,0.1808392,2.95
6970,37917,0.18382,2.95
6970,52643,0.1323994,2.95
6970,50606,0.1377288,2.95
7689,24453,0.3144253,3.32
7689,49911,0.1540471,3.32
7689,49286,0.1560005,3.32
6982,170078,0.0410531,3.53
6178,16006,0.385999,2.63
6178,44211,0.1397458,2.63
6178,24886,0.2482641,2.63
9141,36458,0.2507334,3.8
9141,36458,0.2507334,3.8
6664,81000,0.0822742,2.84
6664,81000,0.0822742,2.84
4234,35129,0.1205266,2.26
4234,22895,0.1849303,2.26
4234,12115,0.3494824,2.26
6738,45096,0.1494038,3.36
6738,33598,0.2005332,3.36
6738,24221,0.2781683,3.36
6738,32614,0.2065835,3.36
5963,54118,0.1101812,2.6
5963,51023,0.1168647,2.6
5963,67933,0.0877745,2.6
5963,52228,0.1141684,2.6
7851,26900,0.2918654,3.84
6702,52500,0.1276514,2.96
6702,52500,0.1276514,2.96
5582,26875,0.2077154,2.5
5582,22404,0.2491676,2.5
5582,23167,0.2409614,2.5
6177,21944,0.2814748,2.88
6177,33139,0.1863871,2.88
6177,48851,0.1264392,2.88
6177,52431,0.1178059,2.88
6177,39051,0.1581696,2.88
6077,41530,0.1463349,2.64
6077,41530,0.1463349,2.64
5366,53144,0.1009729,2.26
5366,53068,0.1011175,2.26
6518,70313,0.0927027,2.92
6518,14333,0.4547688,2.92
6518,26017,0.2505363,2.92
6518,35252,0.184903,2.92
6518,35851,0.1818137,2.92
6518,33503,0.1945558,2.92
6284,34464,0.1823427,2.66
6284,24271,0.2589205,2.66
6284,33214,0.1892051,2.66
9162,28299,0.323767,3.8
9162,44077,0.2078699,3.8
9162,26471,0.3461253,3.8
9162,45521,0.201276,3.8
9162,108393,0.0845284,3.8
9162,38088,0.2405556,3.8
13004,45650,0.2848723,6.41
13004,29271,0.4442767,6.41
9884,66103,0.1495276,3.97
9884,65294,0.1513803,3.97
6631,34545,0.1919593,3.18
6631,10238,0.6477079,3.18
6631,57885,0.1145587,3.18
6631,34773,0.1907006,3.18
7354,76094,0.0966455,3.04
7354,75156,0.0978517,3.04
4811,89792,0.0535825,2
4811,89792,0.0535825,2
6462,39345,0.1642292,2.79
6462,32014,0.2018366,2.79
6462,41336,0.1563189,2.79
6462,52375,0.1233718,2.79
6462,46477,0.1390278,2.79
9892,22885,0.4322624,4.4
9892,22885,0.4322624,4.4
7550,40437,0.1867051,3.3
7550,19464,0.3878849,3.3
7550,15707,0.4806642,3.3
7550,22297,0.3386013,3.3
7550,13873,0.5442076,3.3
7550,17337,0.4354728,3.3
5779,16827,0.3434377,2.64
7440,56500,0.1316857,3.1
7440,56500,0.1316857,3.1
7632,19943,0.3826973,3.47
7632,9688,0.7877923,3.47
7632,16789,0.4545912,3.47
7632,25350,0.3010703,3.47
7632,18772,0.40657,3.47
7802,31771,0.2455584,3.23
7802,65913,0.1183626,3.23
7802,26311,0.2965161,3.23
7802,60968,0.1279628,3.23
7802,77778,0.1003065,3.23
7802,34375,0.2269567,3.23
5532,19926,0.2776259,2.48
5532,19926,0.2776259,2.48
8157,26629,0.3063094,3.41
8157,25268,0.322808,3.41
8157,26176,0.3116104,3.41
6850,65417,0.1047104,2.83
6850,25521,0.2684002,2.83
6888,52727,0.1306355,3.27
6888,21140,0.3258286,3.27
6888,7431,0.9269299,3.27
6888,22451,0.3068022,3.27
6844,46218,0.1480728,2.92
6844,46218,0.1480728,2.92
6453,35948,0.1795057,2.87
6453,26370,0.244705,2.87
6453,5833,1.1062695,2.87
6453,19592,0.3293625,2.87
6453,22066,0.292435,2.87
6453,9712,0.6644223,2.87
6453,21453,0.300791,2.87
7942,89201,0.0890403,3.38
7942,80625,0.0985114,3.38
7942,46667,0.1701948,3.38
7942,42283,0.187841,3.38
7942,61025,0.1301513,3.38
8236,35556,0.2316321,3.56
8236,60156,0.1369092,3.56
8236,39922,0.2063,3.56
8236,55153,0.1493284,3.56
8236,40053,0.2056253,3.56
8652,21406,0.4041897,3.78
8652,65216,0.1326681,3.78
8652,40170,0.2153867,3.78
11830,20114,0.5881612,5.28
11830,20114,0.5881612,5.28
7087,56864,0.1246288,3.38
7087,36136,0.1961172,3.38
7087,24800,0.2857617,3.38
7087,36964,0.1917241,3.38
7087,46250,0.1532301,3.38
7087,27245,0.2601171,3.38
9462,16875,0.5606988,3.93
9462,22895,0.413269,3.93
6517,12188,0.5347107,2.88
6517,22393,0.2910309,2.88
6517,20528,0.3174715,2.88
6517,37447,0.1740341,2.88
6517,41800,0.1559104,2.88
6517,33898,0.1922548,2.88
6772,75677,0.08948,2.81
6772,18462,0.3667847,2.81
6772,46032,0.1471059,2.81
6772,37188,0.1820904,2.81
6772,45595,0.1485158,2.81
8815,138245,0.0637636,3.71
8815,137885,0.0639301,3.71
11037,43000,0.256666,4.58
6313,7317,0.8627511,2.95
6313,21374,0.2953471,2.95
6313,20024,0.3152592,2.95
7952,55500,0.143285,3.38
7952,55060,0.14443,3.38
7952,55202,0.1440585,3.38
6911,49000,0.1410404,3.05
6911,24521,0.2818392,3.05
6911,33116,0.20869,3.05
6911,36493,0.1893782,3.05
6911,20441,0.338094,3.05
